super,improve
Smoking,The night I stopped was fine until I was told no for a fag  After they let me ring mum to bring some
Couldn't be improved,None
Couldn't be improved,Nothing carry on what you are doing 
Couldn't be improved,Happy with service
Staff/Staff Attitude,Waiting times Due to no staff cover when staff are off sick
Couldn't be improved,Nothing 
Environment/Facilities,Laptop computer in room 
Access to Services,More session at appropriate times
Access to Services,More home support when you come home from hospital 
Access to Services,Longer courses 
Communication,More testimonials about people who have succeeded and how they have achieved it to provide more hope
Access to Services,Get to me quicker after referral  
Couldn't be improved,all ok
Communication,Talk more  discussing more about my medication
Environment/Facilities,Better showers
Communication,The jab could have been explained better
Couldn't be improved,Nothing Everything very satisfactory
Communication,Speak slowly
Communication,Medication and food
Couldn't be improved,I dont feel there was anything I was put very at ease and so was my son
Couldn't be improved,Nothing
Communication,Let you know what is happening Recognise some people can think straight
Couldn't be improved,nONE
Environment/Facilities,Have a TV in bedroom have somewhere to play cards dominoes
Privacy and Dignity,A little more privacy  Only a curtain between patients
Care/ Treatment,Waiting to go to the toilet  hard to wait
Communication,Add in more detail about the subjects
Care/ Treatment,I would have liked to have sessions with a psychologist or a therapist  The meds really do work but the underlying issues need talking over in order to achieve long term success
Access to Services,I missed the first session and the last 2 If possible I would like to go to the meetings again 
Couldn't be improved,Satisfactory
Couldn't be improved,Nothing everything is acceptable
Couldn't be improved,Nothing
Food,Food More variety Physical pain relief not fully met
Care/ Treatment,Availability of appointments
Staff/Staff Attitude,All staff are perfect cannot think of anything they can improve on sometimes they are understaffed but still keep up to the highest standards 
Couldn't be improved,There is not a lot you could have done better 100 proficient in all areas
Couldn't be improved,Nothing it is excellent
Care/ Treatment,Time slots  More staff
Couldn't be improved,Service cannot be improved
Couldn't be improved,Nothing
Staff/Staff Attitude,More out of hours workers
Care/ Treatment,timed visits
Communication,Telling me what was going to happen  what was going to be discussed with other services  Not being judgemental
Environment/Facilities,Safe parking  The road Chewton St is very busy aand a crossing would help to get safely over the road I know that this is not the centres responsibility but it is a pain
Care/ Treatment,Sned ou text reminder of appointments
Care/ Treatment,I was offered a DIY course of CBT supported by remote telephone interviews  Whilst I found this successful I had trouble sustaining the motivation to complete the task sheets and eep detailed records of progress    Prior to the course I had experience of CBT methods through supporting my wifes CBT last year  I would be very concerned about offering a paper heavy course to someone with severe depression and no experience of CBT or home support
Access to Services,LESS TIME BETWEEN APPOINTMENTS SOMETIMES 3 WEEKS APART WHICH I FELT LESSENED THE IMPACT OF THE TREATMENT
Environment/Facilities,Better IT support as I easnt able to be given treatment due to equipment failure unable to see my xrays
Care/ Treatment,I was recommended to attend a group course on anxiety and depression that didnt deal with depression by my psychiatrist Dr XX  The course held by Xxx Xxx  Xxx Xxx was titled course outlin anxiety and depression had no content for coping with or dealing with depression and Xxx Xxx who did my assessment did mention this which makes me wonder why I was put on this course it made my depression substantially worse and despite a report to the contrary made my anxiety worse which until this I had been coping ok with  It was like being back at an infants school mostly thanks to Xxx Xxx methods of counseling  I am now back to having suicidal thoughts The only thing that helped my depression was Transcranial Magnetic stimulation which I understood to be just experimental I need more
Couldn't be improved,I dont think you can do anything better  All the staff are caring  They provide me with any information I need
Access to Services,Time waiting for appointments is far too long
Couldn't be improved,Cannot suggest improvements as already a great place 
Service Quality/Outcomes,Support for sleep problems
Couldn't be improved,Cant fault the help I had
Communication,There is not enough communication between the paediatrician and the nurse who visits
Couldn't be improved,nothing
Couldn't be improved,Nothing 
Couldn't be improved,Nothing to improve
Environment/Facilities,Better car parking
Access to Services,I am extremely disappointed that the Day unit was closed as I feel that this service provided an essential part of the road to recovery for many clients my self included
Access to Services,Waiting times  doctor dentist
Staff/Staff Attitude,More funding for more staff
Environment/Facilities,At the Manton clinic sounproofing is very poor It is impossible not to overhear what is being said whilst waiting for an appointment
Communication,completely explain procedures
Environment/Facilities,Parking
Access to Services,Play sessions for 12 years olds to step up from Jelly Babies
Care/ Treatment,More frequent appointments
Couldn't be improved,Nothing it is marvelous
Couldn't be improved,Im sure there is nothing that cfould be done to make it better
Service Quality/Outcomes,When planning the clinic for a bit of advice not being made to feel like why on earth are you calling us up
Access to Services,Fathers to be incorporated with the service  probably weekend clinic out of worktime 9  5 pm weekdays
Care/ Treatment,I just wish there were different options available more than CBT and counselling My biggest qualm is a number of appointments were cancelled by YOU these were the appointments for assessment If I were severely depressed and needed to speak you guys cancelling appointments COULD HAVE KILLED ME  you need backup therapists to take phone calls when others are ill
Couldn't be improved,Nothing Everything has been very good
Couldn't be improved,Nothing I think you do amazing I just wish I had longer for your help
Couldn't be improved,Happy with what we were told very helpful
Food,Food
Care/ Treatment,Get dressings  not your fault but surgerys problem
Couldn't be improved,Everything really ok staff very helpful
Care/ Treatment,Not to be taken off my medication
Access to Services,TIME KEEPING
Couldn't be improved,Nothing I dont think was all good
Couldn't be improved,nothing
Care/ Treatment,Getting repeat scripts on time  I had to wait 5 days after running out even though I put a repeat in 1 week before I received my last meds
Staff/Staff Attitude,Consistency of psychiatrist at our patients
Couldn't be improved,Nothing
Environment/Facilities,Cheaper payphone
Access to Services,For myself the waiting time worked out well  However for other clients the wait would probably have been far too long  Q12  The patient indicated that it would be extremely likely that she would recommend the service to a family member or friend
Staff/Staff Attitude,Inconsistency of Midwives with amtenatal support
Couldn't be improved,nothing
Access to Services,Longer periods for stay and play
Care/ Treatment,The parameters of the service are set up wrong  I am fitting into your system instead of your system fitting my needs  I feel I am only half way to being cured
Communication,Dont think I was told about options After questions was told was to await an appointment for counselling which I feel I need 
Access to Services,We were initially seen by a consultant and a nurse and a student  It seemed to take time for our key worker to understand the problem and for us to then be transferred to a dietitian as key worker  this was a more appropriate professional for us  Having said that we do understand that our daughters illness was not typical so understandably all avenues needed to be explored  However she feels she was given a label which was not he correct one and to some extent I agree  One thing I would have appreciated would have been a session just for us a parents this was offered but as our daughter didnt want us to do this we respected her views and didnt take it up  One example ow what might have helped our daughter always wanted to put weight back on her illness was never about weight so when she had put weight onwhich she did almost from week one the response was how do you feel about that  never great well done
Couldn't be improved,Its too early in the process to tell
Couldn't be improved,Im happy with the service
Couldn't be improved,I cant think of anything to make the service better
Couldn't be improved,I have been happy with the service and have been well informed 
Couldn't be improved,Nothing
Environment/Facilities,More changing toilets 
Leave,I would like to get out more
Staff/Staff Attitude,Would like the nurses to slow down a bit  I know they are busy  The day time staff are better at giving time than the night staff 
Food,Issues regarding dinner menu felt my daughters food was restricted in comparison to others with eating issues for eg wasnt allowed to have fruit juice  had to have water my daughter has ASD and has very limited food range She didnt feel there was enough options Also possessions went missing on a few occasions and had to continually  ask so they could be found
Communication,Close the place Listening to you ye right  Communicating with you  we got told Respect got to be joking  Involved with decision No Positive difference Making me worse
Access to Services,MORE APPOINTMENTS IN BEESTON RATHER THAN HAVING TO TRAVEL TO STAPLEFORD
Couldn't be improved,None 
Privacy and Dignity,Train people better on family and gender
Service Quality/Outcomes,split the day into 2 12s
Access to Services,Run more courses more often  This would have helped much more earlier when I started these cycles 
Couldn't be improved,Nothing it was very satisfying
Communication,Bit more motivation on ICU and to be told about the reset of the hospital on admission
Staff/Staff Attitude,I would like more understanding about my mobility problems regarding my shopping
Communication,contact when not visiting
Service Quality/Outcomes,Not make people register with Sure Start
Couldn't be improved,Nothing
Couldn't be improved,nothing
Couldn't be improved,Nothing at all 
Access to Services,I was first offered a group course in relaxation and destressing techniques which I was looking forward to but this was held on two nights one on which I worked and the other night was far too far away in Newark as I dont have a car  disappointing  Chloe is a lovely lady and has given me good strategies which have helped quite a bit  Thank you
Couldn't be improved,Nothing 
Care/ Treatment,given an appointmet time
Couldn't be improved,All fine
Access to Services,Hard to schedule times  but partly due to my own commitments
Staff/Staff Attitude,Perhaps more face to face sessions
Care/ Treatment,Could do with activity coordinator  Patients sit at bedside long periods  get them together in large group to do something  the patients get bored  TV not working properly  Information re patients update not given to me carer when I visit
Access to Services,Time factor Was told 68 weeks but time went on and waited 8 months Should be made more clear on how long people have to wait 
Couldn't be improved,Nothing
Couldn't be improved,very happy with the service
Care/ Treatment,Appointment system  Often you ring 23 times to get an appointment  I would prefer to leave my appointment with the next one booked
Couldn't be improved,I cant criticize i was just thankful to be on the course
Access to Services,Annual review sessions
Care/ Treatment,Over reliance on custodial treatment for those who are nondangerous suffering mental health breakdown
Communication,Would like to be listen to first before jumping to conclusions Would like to have staff and patient eat together to make it more therapeutic
Couldn't be improved,I think it is fine as it is
Communication,communication
Care/ Treatment,Older activities needed but fantastic day that is really affordable for everyone good
Access to Services,Long wait for appointment to fit monitor
Couldn't be improved,Nothing I enjoyed it all
Environment/Facilities,Clean the wards Better foodmenu More activitiesday trips Small groups  Redwood one is poorly run  Needs new managementstaff
Environment/Facilities,Quieter venue needed Difficult to focus and concentrate
Staff/Staff Attitude,sometimes the nurses are rushed due to having a lot of visits
Couldn't be improved,Couldnt ask for a better service from my therapist
Couldn't be improved,Nothing
Staff/Staff Attitude,Would like to be seen more often
Access to Services,If you could have more sessions I could talk about problems without feeling pressured into naming
Couldn't be improved,Nothing at all
Couldn't be improved,Better it is
Couldn't be improved,nothing
Couldn't be improved,No improvement needed
Couldn't be improved,nothing but maybe distract people more
Care/ Treatment,More courses please
Couldn't be improved,None  all very good
Access to Services,To give longer than 6 weeks with each person as some get to trust them and then they are gone and some people take longer to open up 
Communication,To visit each work station and I would like to learn about health and exercise
Care/ Treatment,Be on time
Couldn't be improved,Excellent
Access to Services,Possible occasional longer sessions
Communication,More flexiblity in advice given
Couldn't be improved,No improvements as Ruby has done a great job and helped me a lot just by being there listening and motivating me
Care/ Treatment,More activities 
Care/ Treatment,More PRN
Communication,Come and we do it together I mean the form
Couldn't be improved,Very happy with the way things are
Access to Services,Too long between appointments
Care/ Treatment,Waiting for prescriptions
Couldn't be improved,Nothing
Communication,more information
Care/ Treatment,timed appointments ie am or pm visits made in advance
Access to Services,It is early in the process but it appears to be a long wait until the clinic appointment
Communication,Involve the next of kin more Do not talk down to patients and intimidate them Treat them as equals no matter what there illness is
Staff/Staff Attitude,Need more staff so more time can be spent with patient 
Couldn't be improved,Nothing
Access to Services,Go back to the way it was at weigh in having a HV at weigh in for any questions and concerns Making an appointment can be difficult
Couldn't be improved,Unsure because you do everything to a high standard  This service is so important to people like me
Access to Services,Had to wait in reception for a while with a baby
Environment/Facilities,I think the adult adolescent ward should be more friendly ie bright colours etc
Couldn't be improved,Cannot improve amything
Couldn't be improved,No
Couldn't be improved,You fit my needs well
Couldn't be improved,Stay as good as you are
Couldn't be improved,Nothing
Access to Services,Timing
Couldn't be improved,Nothing
Communication,The needs of the patient and carer to be listened to and at the end of the day it is the carer who lives with the patient and they have to live with the consequences
Service Quality/Outcomes,I disagreed with the consultation The result was based on answers to the questionaire It did not take into account my not being at work I am struggling more now with the pressure of work Not sleeping well at all 14 hour work day on no sleep
Access to Services,Offer visits to health centres
Environment/Facilities,More space please
Couldn't be improved,Nothing
Access to Services,Time taken waiting to be seen for the first time
Access to Services,Has to wait 10 weeks to get in the clinic
Service Quality/Outcomes,A lot
Couldn't be improved,Everything you do are generally excellent
Couldn't be improved,Nothing 
Access to Services,more baby weight clinic
Food,be nice to have teacoffee or cold drink and have a collection box to cover costs
Staff/Staff Attitude,For staff to be professional Dont understand why staff involve patients in their stupidchildish pranks X and X for example  cover staff in glitter Drag each other into shower Leave patients out of it grow up and set an example
Access to Services,I dont think there is anything that you could any better apart from the fact I wish and think there should be more people like yourselves in the wards and especially the NHS We all need you  If I could I would change the way things are and give the NHS all that they need to keep doing the hard Job the do and we as patients need  You are truly needed
Couldn't be improved,nothing
Staff/Staff Attitude,More time
Communication,Explain what classes are more age appropriate to go to  information is there to what classes are but not what age
Care/ Treatment,I had problems sleeping and didnt get any help with it
Care/ Treatment,If possible to treat young childs tooth not to pull it out
Couldn't be improved,Nothing
Care/ Treatment,more structured activities
Smoking,More freedom for smokers not on the at risk list
Access to Services,Easier access to services
Care/ Treatment,Yes review mental health
Access to Services,Not break up for such long periods of time
Service Quality/Outcomes,Enjoyed your time here
Access to Services,Travel It has been nice to have a local service in my home town have had previous counselling and this was some disctance awaywhich has proved difficult for time and cost
Couldn't be improved,Nothing Everything was great
Couldn't be improved,Nothing
Communication,listen more at the beginning
Care/ Treatment,be more gentle
Couldn't be improved,Very good service
Couldn't be improved,Nothing  it was all very good and X was very good
Environment/Facilities,parking spaces for disable patient
Couldn't be improved,Within the confines of what you do I cannot presently think of anything 
Couldn't be improved,Nothing
Couldn't be improved,Nothing
Access to Services,The initial wait was to long
Couldn't be improved,Nothing needed be done better 
Couldn't be improved,nothing
Couldn't be improved,I cant fault it
Access to Services,Annual review of condition of feet and if applicable self help programme
Couldn't be improved,nothing
Access to Services,Quicker service 
Couldn't be improved,Nothing
Access to Services,Provide service outside of school hours Monday  Friday
Staff/Staff Attitude,More staff on reception
Care/ Treatment,To have more activities for babies
Staff/Staff Attitude,a bit more friendly
Access to Services,More of it 
Care/ Treatment,Would be able to check them by length
Staff/Staff Attitude,The night staff They were rude and unhelpful
Care/ Treatment,There was a delay in receiving my medication on arrival so if anything that process could be a little quicker
Food,bring chocolate
Couldn't be improved,Nothing The services here are always excellent
Environment/Facilities,Maybe another family room where family could have access to all the facilities in one area in case the other was being used
Couldn't be improved,Nothing
Staff/Staff Attitude,Further support wanted
Couldn't be improved,No problems well run
Couldn't be improved,Nothing
Service Quality/Outcomes,Feel that the group can be a little clicky which is difficult for new attendees Maybe encouraging breaking barriers would be beneficialc
Couldn't be improved,Its OK
Access to Services,I am desperate for help but there is none  been alienated by the service INSIGHT were brilliant I needed long term help from them but  only allowed 10 session For a service that deals with vulnerable people they are a disgrace   incompetent I dont trust them  they are unprofessional PLEASE HELP ME
Couldn't be improved,Nothing
Access to Services,First times appointment way to long
Staff/Staff Attitude,Have more experience  qualified staff at other health centres so appointments dont take too long ie 6 weeks
Couldn't be improved,nothing
Couldn't be improved,Care received was and is excellent
Care/ Treatment,Medication  Benefit advice  Assisted homes warden
Couldn't be improved,Nothing
Food,Meals
Access to Services,Getting into the Mental Health system quicker
Care/ Treatment,More one to one counselling Temperatures in hospital so high liable to make hardy people nesh Body temperature enough as stated in tropical Britain people acclimatizing to tropical temperature with ridiculous central heating temperature Feeling cold outside even in summer More healthy diet Fresh greens real meats Big 5 almost impossible to obtain Veg should outweigh potatoes Salads not plentiful enough portions not large enough to maintain healthy stomach size
Access to Services,Visit every day
Couldn't be improved,Nothing
Communication,More information
Environment/Facilities,Less restrictions like allowing new technology in such as PlayStation soon
Care/ Treatment,Waiting area at Clifton just a corridor very strange no one checks you in you just sit there a bit lost 
Couldn't be improved,Nothing
Communication,people talking too much
Couldn't be improved,Nothing
Access to Services,Re open the metal workshop the shoe repair shop the brush making shop the tailors etc etc
Safety,Staff watch out for people who play mind games Take it seriously Speak for us dont want to be intimidated
Couldn't be improved,Nothing
Environment/Facilities,parking more frequent appointment
Couldn't be improved,Nothing
Couldn't be improved,I dont see how you could improve on anything 
Care/ Treatment,Would prefer DN not to come at meal times
Access to Services,With more budget they could run more courses 
Communication,a short handout that follows the format of the talk so you can add notes may be helpful 
Staff/Staff Attitude,Politer staff
Couldn't be improved,Nothing I think you all do your best
Service Quality/Outcomes,Any help to improve mobility
Couldn't be improved,Nothing
Access to Services,Open more often
Couldn't be improved,Nothing
Care/ Treatment,Need more definite times with nurses
Communication,Advertise more  Let more people know about your service A lot of people in the community can feel isolated cutoff from society  
Access to Services,Being disabled makes it difficult to get to some places for Well Being interviews have to use taxis
Couldn't be improved,Nothing
Staff/Staff Attitude,Maybe have more contact with me but that is hard to do
Couldn't be improved,Nothing
Couldn't be improved,I dont think there is anything anyone could add I dont think I am eligible for carers assessment as my Dad is now back to independence
Service Quality/Outcomes,Care
Environment/Facilities,Service user suggested that clients may not want to wait in room with other clients perhaps they may be nervous
Couldn't be improved,Nothing
Couldn't be improved,Nothing
Couldn't be improved,Not alot
Communication,Better description of courses I did a couple that were not what they were advertised as  Directions  how to get in coffee  shops
Environment/Facilities,Not a lot More parking spaces would be useful 
Couldn't be improved,nothing
Communication,Better results from review
Couldn't be improved,Nothing
Access to Services,More prompt appointments it would ease the stress of carers
Access to Services,I had 6 sessions of counselling but I dont think it is long enough and could have done with a bit longer I am really satisfied with everything else
Couldn't be improved,nothing
Couldn't be improved,Its as good as it gets Even get tea and biscuits
Privacy and Dignity,1 Curtained areas do not give privacy as discussions can be overheard 2 It would be good to be able to have continuity of care by having private sessions after the 2 NHS sessions  It would provide income for the NHS and enable me to have further beneficial treatment outside the 2 NHS appointments  I would now have to pay for the whole assessment session with a  private physio
Access to Services,Shorter waiting time preferred Pleased I came as it made me look at things differently Helps with the worry of life and made me feel more confident with certain things Felt very supported with overall health and psychological issues
Care/ Treatment,Sometimes there is a variety ability of the participants obviously you cannot  but sometime it means you are less focused on your own learning 
Staff/Staff Attitude,get the health visitor in sure start at weigh in DO NOT WANT ANOTHER APPOINTMENT
Access to Services,Very long wait to see inappropriate service Still waiting for an appointment to be assessed told couple of weeks now three months
Access to Services,Making clinic slightly later in the mornings
Staff/Staff Attitude,At times nurses could actually acknowledge your presence when waiting at office door to speak to them
Environment/Facilities,More homely bedrooms Healthier options at canteen  too many chips every night
Care/ Treatment,Arranging appointments better
Staff/Staff Attitude,Staff and doctor
Care/ Treatment,More cooking and art work
Couldn't be improved,Nothing
Couldn't be improved,Nothing
Care/ Treatment,Ot education classes maths english aa lessons cooking lessons Visits from other churches in the community Daily trips fund raising events carboot in carpark more is needed
Couldn't be improved,No you were really good
Staff/Staff Attitude,See same nurse each time
Staff/Staff Attitude,To ensure continuity of specialist support Visits stopped without any explanation
Care/ Treatment,More rigid timescale as daughter struggles with routine breaks  Although appreciate its weekend so probably couldnt be helped
Staff/Staff Attitude,STAFF  Nothing  Equipment a little out of date and broken
Couldn't be improved,Everything ok with how it is
Couldn't be improved,nothing
Couldn't be improved,Nothing
Couldn't be improved,First day so not sure yet
Care/ Treatment,The CST Group was less helpful She felt very strongly that the reading of horoscopes not only offended her Christian beliefs but was also unhelpful for vulnerable people However she appreciated the lifts and the chance to meet others in a similar situation
Food,The fooddietary intake
Communication,If applicable I would have liked more information about side effects
Smoking,No smoking on the unit
Environment/Facilities,The shower 4 clicks only half hour with shampoo on head
Couldn't be improved,Nothing at all
Food,Too much food on the plate  smaller portions needed
Staff/Staff Attitude,Staff could be more approachable
Care/ Treatment,Do more referrals to specialists
Couldn't be improved,N0
Staff/Staff Attitude,More staff and resources for the unit
Couldn't be improved,Good
Couldn't be improved,No
Staff/Staff Attitude,I would like to say I find some staff rude and scary the big woman with spiky hair and her mate on the bed management team  XXX was rude to my partner and me in the lift and continued on the ward
Staff/Staff Attitude,Someone on Reception actually in the clinic
Access to Services,having more sessions
Care/ Treatment,Not running out of dressings
Staff/Staff Attitude,Smile more Stronger drugs
Couldn't be improved,Could not improve the service and care received
Environment/Facilities,Noise levels at times
Care/ Treatment,A better detox more like a HMP
Access to Services,Give timed visits
Communication,communicate better
Communication,Communication
Access to Services,More regular visits which at 90 years always raise my morale
Couldn't be improved,Nothing it is a good service already
Couldn't be improved,nothing
Couldn't be improved,Nothing
Couldn't be improved,You can not make any improvements the care is excellent
Access to Services,Being here more 
Involvement,No involvement options given
Couldn't be improved,Nothing
Couldn't be improved,No
Communication,Continue contact or be available for support if needed
Access to Services,I have used the NHS carers break for a sitting service but this is under threat as criteria has changed 
Couldn't be improved,Nothing it is too good
Couldn't be improved,not alot
Staff/Staff Attitude,Have more time to talk but other than that nothing
Access to Services,Shame there isnt swining lesson available for after work hours my husband would love to bring him 
Communication,Informing the patient of hisher time  writing  course work to under take Care treatment pathway  CQC
Access to Services,try to stick to 3 visits in one week
Access to Services,Longer time to be involved 3 month service
Couldn't be improved,Nothing
Environment/Facilities,Light through bedroom window at night
Staff/Staff Attitude,It would be helpful if there was a continuity of care used even though the nurses change 
